filename	timestamp	sentence
48.srt	00:00:01.219 --> 00:00:25.870	Welcome back to real time digital signal processing course.
48.srt	00:00:26.300 --> 00:00:30.519	So today we will discuss about discrete cosine transform.
48.srt	00:00:30.910 --> 00:00:37.750	So, how we can implement using both MATLAB and then the DSP processor what we will be looking at it.
48.srt	00:00:37.750 --> 00:00:43.020	So, before giving the demo, so we will have little on the theory part of it.
48.srt	00:00:43.020 --> 00:00:51.380	So, as a recap in the last class we did little bit on speech coding and then its applications.
48.srt	00:00:51.490 --> 00:01:01.230	One of the application was LPC coding what we did both in MATLAB and then.
48.srt	00:01:01.940 --> 00:01:10.689	So, the other applications you can look in and then see that how you can use the speech coding in different applications.
48.srt	00:01:10.719 --> 00:01:16.939	So, today we will see little on image compression basically.
48.srt	00:01:17.460 --> 00:01:24.189	So, mostly we will be concentrating on the JPEG part of it.
48.srt	00:01:24.810 --> 00:01:26.890	So, why do we need compression?
48.srt	00:01:26.890 --> 00:01:34.659	Most of you will be taking lot of images using your mobile phones, cameras and so many other devices basically.
48.srt	00:01:37.890 --> 00:01:44.980	So, then how you are going to represent it most of the time will be telling that our memory is full.
48.srt	00:01:45.439 --> 00:01:59.230	So, we have to move our all images to some storage place what we have to take it can be a cloud or somewhere hard disk and then how you are going to retrieve and other problems challenges what you will be facing it.
48.srt	00:01:59.230 --> 00:02:08.500	So, to say that how the number of bits is going to increase we will see for a bit.
48.srt	00:02:08.620 --> 00:02:10.550	black and white image ok.
48.srt	00:02:11.080 --> 00:02:23.860	So, we say that it has a resolution of or the size of it is 1000 by 1000 is the image what you have taken a thing and each pixel we represent it with 8 bits.
48.srt	00:02:24.460 --> 00:02:27.939	We know that black and white is 0 to 255 is enough for us to represent it.
48.srt	00:02:27.939 --> 00:02:35.400	So, we say that 8 bits are sufficient to represent the intensity of these pixels.
48.srt	00:02:35.680 --> 00:02:38.099	So, now we will see that.
48.srt	00:02:40.740 --> 00:02:48.210	total number of bits what is required is we know that if we multiply 1000 into 1000 into 8 bits.
48.srt	00:02:48.639 --> 00:02:55.289	So, it comes to about as you can see that 80 lakhs bits per image what we needed.
48.srt	00:02:56.280 --> 00:03:14.520	And we say when we are talking about the video this is only the still image what you are talking about and then if we are considering a video for a black and white you know that it is 30 frames per second what we assume the video rate which is at which it is coming.
48.srt	00:03:15.000 --> 00:03:22.689	So, this type what happens we will be seeing that if it is taken for just 3 seconds ok.
48.srt	00:03:23.069 --> 00:03:25.099	So, what will be the value of it.
48.srt	00:03:25.099 --> 00:03:26.550	So, it is 3 into 0.
48.srt	00:03:27.189 --> 00:03:38.159	30 frames per second, 30 frames what I have to store it into whatever we have this value what we will be taking it 80000.
48.srt	00:03:38.549 --> 00:03:47.870	So, you will be seeing that how many bits is required to store our image in any of the storage units.
48.srt	00:03:48.459 --> 00:03:56.399	Then the further still images JPEG compression the compression is one of the popular one.
48.srt	00:03:58.409 --> 00:04:04.229	So, that is joint program extend group actually what it is.
48.srt	00:04:04.559 --> 00:04:08.739	So, here what are the steps involved in it.
48.srt	00:04:09.079 --> 00:04:15.579	So, we know that we need discrete cosine transform usually it is being used for compression.
48.srt	00:04:16.139 --> 00:04:30.069	Then the bits whatever received is going to be quantized and then it is going to be zig zag scanned and then the whatever you use the run length.
48.srt	00:04:30.209 --> 00:04:36.509	the encoding and then DPCM whatever differential pulse code modulation what you can use it.
48.srt	00:04:37.049 --> 00:04:43.829	Then later on use the entropy coding these are the coding techniques what you can use it and then you will be transmitting it.
48.srt	00:04:44.299 --> 00:04:47.669	So, what are the modes available for the JPEG?
48.srt	00:04:48.089 --> 00:05:04.839	It can be sequential what you can have mode or you want to have a lossless compression you can incorporate it or it can be a progressive mode what you can select it or it can be even the hierarchical mode what you can select.
48.srt	00:05:05.219 --> 00:05:09.279	Those these are the options in the modes what you have it for the JPEG.
48.srt	00:05:09.779 --> 00:05:16.699	So, the website what you can visit for more information is given here for you ok.
48.srt	00:05:16.819 --> 00:05:21.889	So, now why we have to select JPEG.
48.srt	00:05:22.649 --> 00:05:35.689	So, the compression ratio of lossless method is that is example is we can use the Huffman coding or arithmetic coding or LZW coding.
48.srt	00:05:36.599 --> 00:05:40.429	So, these are the once what it is used for coding.
48.srt	00:05:40.819 --> 00:05:45.579	So, it is not high enough for image and video compression.
48.srt	00:05:46.069 --> 00:05:54.289	So, although we use these things still the size of the image what we have to store is very high.
48.srt	00:05:54.849 --> 00:05:59.389	So, what happens in the JPEG it uses a transform coding basically.
48.srt	00:05:59.769 --> 00:06:02.719	So, largely based on the following observations.
48.srt	00:06:03.179 --> 00:06:06.009	So, you will be seeing that why do we need the transform.
48.srt	00:06:06.059 --> 00:06:09.779	So, we have looked at Fourier transform in our.
48.srt	00:06:10.009 --> 00:06:11.449	course already.
48.srt	00:06:11.949 --> 00:06:18.159	So, how fast you can make discrete Fourier transform to run using fast Fourier transform.
48.srt	00:06:18.679 --> 00:06:25.789	So, why do we have to represent an signal in the transform domain also what we have looked in.
48.srt	00:06:26.169 --> 00:06:30.139	Now, we will see why we need the transform for our images.
48.srt	00:06:30.589 --> 00:06:38.279	What it says is a large majority of useful image contents change relatively slowly across images.
48.srt	00:06:38.739 --> 00:06:43.509	So, it is unusual for intensity values to alter up.
48.srt	00:06:43.969 --> 00:06:47.049	and down several times in a small area.
48.srt	00:06:47.439 --> 00:06:53.409	So, that is usually we assume the small areas 8 by 8 image block.
48.srt	00:06:53.879 --> 00:07:10.279	So, even you would be seeing when you want to create your video from a small image what you do is I think the famous one you will be seeing that bird in a cage ok.
48.srt	00:07:10.279 --> 00:07:13.879	So, they are two different and if you rotate them varies.
48.srt	00:07:16.289 --> 00:07:27.869	high rotation if you are giving the thing or high speed you rotate it you will be observing the bird in the cage basically that is what the illusion what you will be getting it.
48.srt	00:07:28.209 --> 00:07:37.119	So, it is enough for us to look in the small image block and see the intensity values and whether we can remove some of the things.
48.srt	00:07:37.279 --> 00:07:44.579	So that we need not have to keep those values which are below some threshold what we will be putting it.
48.srt	00:07:48.849 --> 00:08:03.739	So, the translation of this fact into your spatial frequency domain implies generally that is lower spatial frequency components contain more information than the high frequency components.
48.srt	00:08:04.149 --> 00:08:10.999	So, we say that which often correspond to less useful details and then we call them as noises.
48.srt	00:08:10.999 --> 00:08:16.359	So, just like our speech the contents of it is in the lower frequency part of it.
48.srt	00:08:16.409 --> 00:08:24.899	Here also in the images we say at the lower frequency we have more.
48.srt	00:08:26.309 --> 00:08:32.129	coverage of the thing and then at a high frequencies the not much information and then it may be noises.
48.srt	00:08:32.159 --> 00:08:42.669	So, the that is what it says that experiment suggests that humans are more immune to loss of highest spatial frequency components than loss of lower frequency components.
48.srt	00:08:43.169 --> 00:08:50.349	So, if we lose the higher frequency components because of our visual what we call it as seeing capability.
48.srt	00:08:57.629 --> 00:09:07.229	So, it gets the low frequency components much registered than the one in the higher frequency region.
48.srt	00:09:08.119 --> 00:09:12.379	So, how we are going to incorporate this JPEG coding?
48.srt	00:09:12.869 --> 00:09:14.639	So, these are the steps involved.
48.srt	00:09:15.049 --> 00:09:20.559	First we do the discrete cosine transform of each 8 by 8 pixel array.
