filename	timestamp	sentence
8.srt	00:00:06.169 --> 00:00:06.910	Hi everyone.
8.srt	00:00:06.910 --> 00:00:09.970	In this video, we're going to talk about multilinear regression.
8.srt	00:00:11.320 --> 00:00:21.269	So last time we talked about multilinear regression with the higher order terms of a single variable, and this time we're going to talk about multilinear regression model when there are multiple variables.
8.srt	00:00:22.239 --> 00:00:29.300	So we're going to see how to interpret these coefficients and then how to inspect whether these coefficients are significant.
8.srt	00:00:30.780 --> 00:00:32.969	And we're going to talk about how to select features.
8.srt	00:00:33.179 --> 00:00:35.310	and what to consider when we select features.
8.srt	00:00:36.340 --> 00:00:39.770	And we'll talk about highly correlated features and multicollinearity.
8.srt	00:00:40.230 --> 00:00:40.770	What are they?
8.srt	00:00:40.770 --> 00:00:42.359	How does it affect the model?
8.srt	00:00:42.469 --> 00:00:45.109	And what can we do when we select features?
8.srt	00:00:47.070 --> 00:00:50.549	And we're going to talk about what other things to consider when we select features.
8.srt	00:00:51.600 --> 00:00:55.799	And lastly, we'll talk about what to do when there are interactions between the features.
8.srt	00:00:57.740 --> 00:01:01.939	So, as you know, the multilinear regression model can be formulated by this.
8.srt	00:01:02.359 --> 00:01:07.450	So, all the variables are linearly combined to represent the model.
8.srt	00:01:07.930 --> 00:01:09.700	to predict the target variable Y.
8.srt	00:01:11.469 --> 00:01:17.200	And the coefficient, each coefficient is an average effect of that variable to Y target variable.
8.srt	00:01:17.799 --> 00:01:21.409	When we consider all other variables are independent and fixed.
8.srt	00:01:22.629 --> 00:01:24.670	This assumption may not be true in general.
8.srt	00:01:25.280 --> 00:01:29.849	So variables or the predictors might be correlated in real world scenario.
8.srt	00:01:30.840 --> 00:01:34.939	And also, we also assume these coefficients are constant.
8.srt	00:01:35.079 --> 00:01:37.129	However, that might not be true in general.
8.srt	00:01:41.890 --> 00:01:48.109	So if there is an interaction between two variables or more, This constants or coefficient may not be true constant but is a function of some other variables.
8.srt	00:01:48.890 --> 00:01:51.450	So we'll talk about what to do when it happens.
8.srt	00:01:52.980 --> 00:01:56.040	Let's take an example that we saw previously.
8.srt	00:01:56.040 --> 00:01:58.180	It's a house price prediction.
8.srt	00:01:58.930 --> 00:02:05.520	So house price is a Y target variable and all other variables are the features.
8.srt	00:02:06.430 --> 00:02:12.219	We're going to inspect the types of variables and see if they are suitable for linear regression model.
8.srt	00:02:13.380 --> 00:02:15.450	So what are the types of variables?
8.srt	00:02:20.810 --> 00:02:27.000	There can be real value number and there could be categorical variable.
8.srt	00:02:30.660 --> 00:02:39.000	And categorical variable can have ordinal and non-ordinal categorical variable.
8.srt	00:02:39.000 --> 00:02:43.110	What is ordinal categorical variable?
8.srt	00:02:43.740 --> 00:02:48.560	These are categories that have meaning in their order.
8.srt	00:02:48.560 --> 00:03:02.500	So something like age group or grade, abc or 1234, those can be ordinary categorical variable because they have a meaning in their order.
8.srt	00:03:03.670 --> 00:03:12.420	The examples of non-ordinary categorical variables are male, female, race, ethnicity, and so on.
8.srt	00:03:12.420 --> 00:03:15.500	Some classes they don't have any meaning in their order.
8.srt	00:03:16.250 --> 00:03:22.570	So we can permute the orders of categories and they don't have an effect.
8.srt	00:03:23.470 --> 00:03:41.580	So non-ordinal categories are difficult to use in linear regression model because in linear regression model, a variable value times the coefficient present how much of the value in target variable is contributed by that variable.
8.srt	00:03:46.900 --> 00:03:49.600	Therefore, if the variable can be permuted arbitrarily, It's not easy to use in the linear regression.
8.srt	00:03:50.240 --> 00:03:55.160	However, there are ways to use these non-ordinary categorical variables in the linear regression.
8.srt	00:03:55.160 --> 00:04:04.540	For example, we can code male, female into 0 or 1 or 1 or 0 or sometimes minus 1 to 1.
8.srt	00:04:04.540 --> 00:04:07.980	So if we choose one of these, it will work.
8.srt	00:04:07.980 --> 00:04:10.250	And then how about race?
8.srt	00:04:10.250 --> 00:04:15.600	Let's say race had only three categories, Asian, Black, and Caucasian.
8.srt	00:04:17.579 --> 00:04:21.210	So this variable has three categorical values.
8.srt	00:04:21.710 --> 00:04:26.759	So we can convert this into individual three binary categorical variables.
8.srt	00:04:26.829 --> 00:04:29.560	So is the person Asian or not?
8.srt	00:04:29.650 --> 00:04:31.720	Is the person black or not?
8.srt	00:04:32.189 --> 00:04:33.879	Is the person Caucasian or not?
8.srt	00:04:35.720 --> 00:04:42.610	However, we don't need all three of them because if the two are known, the other one can be known as well.
8.srt	00:04:42.610 --> 00:04:43.699	So they are dependent.
8.srt	00:04:44.150 --> 00:04:46.750	So if we just get rid of one of them.
