filename	timestamp	sentence
8.srt	00:00:00.160 --> 00:00:29.300	Hello, welcome to the NPTEL online certification course on deep learning.
8.srt	00:00:33.109 --> 00:00:40.420	Now, we are discussing about the discriminant function and the decision boundary among different classes.
8.srt	00:00:41.750 --> 00:01:04.390	So, in the previous class we have considered two simple cases where the covariance matrices of the different classes they are same and in one of the case we have assumed that the covariance matrix is of the form sigma square i where sigma is the variance of all the components of the vectors.
8.srt	00:01:05.129 --> 00:01:25.329	And, i is an unit matrix which indicates that the covariance matrix is diagonal all the off diagonal elements are 0 and all the diagonal elements are same and that is a case of distribution of points where the points are spherically distributed or hyper spherically distributed.
8.srt	00:01:26.680 --> 00:01:39.810	And in the second case we have assumed that sigma or the covariance matrix of all the classes are same, but the covariance matrix need not be of the form sigma square i that means, i also have.
8.srt	00:01:40.569 --> 00:01:43.009	of diagonal elements which are nonzero.
8.srt	00:01:43.769 --> 00:01:52.369	And this is a case of distribution of points where the vectors are distributed in ellipsoidal fashion or hyper ellipsoidal fashion.
8.srt	00:01:53.609 --> 00:02:03.049	So, what we have discussed in the previous class is the decision boundary under various cases of covariance matrices.
8.srt	00:02:03.049 --> 00:02:09.490	And we are going to continue with the same discussion in this class with few more examples.
8.srt	00:02:10.629 --> 00:02:14.139	So, what we stopped in the previous lecture is .
8.srt	00:02:14.949 --> 00:02:15.560	matrix.
8.srt	00:02:15.560 --> 00:02:31.989	We have assumed the case where the covariance matrix sigma i is equal to sigma that means, the covariance matrix of all the classes are same, but here the covariance matrices need not be diagonal only.
8.srt	00:02:47.639 --> 00:03:17.769	And given this case we have in the previous class computed that g i x or the covariance the discriminant function of the ith class is given by w i transpose x plus w i naught where we have seen that this w i is of the form sigma inverse mu i and w i naught was simply given by minus half.
8.srt	00:03:18.769 --> 00:03:39.279	mu i transpose sigma inverse mu i plus log of p of omega i where p of omega i is the a priori probability of class omega i .
8.srt	00:03:39.279 --> 00:03:46.649	So, given this again as we have done in the other case I can compute the decision yeah.
8.srt	00:03:49.929 --> 00:03:53.449	So, here you find that because this g i x of the form w i transpose x plus w i naught.
8.srt	00:03:54.069 --> 00:04:02.049	Again this discriminant function is a linear function because I do not have any quadratic term in x in this expression.
8.srt	00:04:02.759 --> 00:04:06.249	So, the discriminant function here again is a linear function.
8.srt	00:04:07.419 --> 00:04:17.699	So, given such a discriminant functions as we have computed in the previous case, I can compute the decision boundary between the two classes omega i and omega j.
8.srt	00:04:18.819 --> 00:04:20.469	So, what will be the decision boundary?
8.srt	00:04:21.269 --> 00:04:40.219	The decision boundary here again will be given by g x is equal to g i x minus g j x and because on the boundary g i x and g j x they are equal.
8.srt	00:04:40.259 --> 00:04:52.549	So, I will have g i x minus g j x equal to 0 and you find that what was our expression for g i x g i x.
8.srt	00:05:23.479 --> 00:05:24.239	was of the form sigma i mu i sigma mu i transpose sigma inverse x minus half mu i transpose sigma inverse mu i plus log of p of i.
8.srt	00:05:25.729 --> 00:05:39.529	Similarly, when I compute g j x, g j x will be mu j transpose sigma inverse x minus half of mu j transpose sigma inverse mu j plus log of p of omega j.
8.srt	00:05:40.719 --> 00:05:53.889	So, if I simply subtract this g i x minus g j x and equate that to 0, my expression will simply become 1, when I compute.
8.srt	00:05:55.399 --> 00:06:26.699	here g x which is nothing but g i x minus g j x equal to 0 that simply becomes mu i transpose sigma inverse minus mu j transpose sigma inverse x of this.
8.srt	00:06:59.069 --> 00:07:29.259	minus half of mu i transpose sigma inverse mu i minus mu j transpose sigma inverse mu j plus log of p omega i upon p omega j that will be equal to 0 ok. And if you simplify in the same way that you have done earlier, you find that this will lead to an equation of the form W transpose X minus X naught which is equal to 0, where this W in this case will be given by sigma inverse mu i.
8.srt	00:07:29.919 --> 00:07:59.619	minus mu j and x naught will be given by half of mu i plus mu j minus 1 upon mu i minus mu j transpose sigma inverse mu i minus.
8.srt	00:08:00.139 --> 00:08:23.129	mu j here it will be log of p omega i upon p omega j into mu i minus mu j .
8.srt	00:08:23.129 --> 00:08:24.149	So, what does it indicate?
8.srt	00:08:24.949 --> 00:08:33.279	It indicates as before that because the equation of the boundary the decision boundary between the classes omega 1 and omega j .
8.srt	00:08:33.759 --> 00:08:37.709	is of the form W transpose X minus X naught equal to 0.
8.srt	00:08:38.109 --> 00:08:49.509	And if you remember this form is similar to what we have obtained in the previous case where the covariance matrix was a diagonal matrix for all the classes.
8.srt	00:08:50.819 --> 00:08:51.989	But what is the difference?
8.srt	00:08:52.479 --> 00:09:02.219	In the previous case this W was simply mu i minus mu j that means, W was the vector drawn from mu i to mu j.
8.srt	00:09:03.139 --> 00:09:06.659	But in this case W is sigma inverse mu i and j.
8.srt	00:09:07.279 --> 00:09:08.459	mu i minus mu j.
8.srt	00:09:09.359 --> 00:09:36.749	So, which means that W is no longer in the direction of the vector from mu i to mu j, but the direction of W depends upon the covariance matrix sigma because the expression is sigma inverse mu i minus mu j. X naught as before if I assume P omega i and P omega j to be equal that is the classes to be equally a priori.
8.srt	00:09:37.409 --> 00:09:44.659	In that case sigma naught as before becomes half of mu i plus mu j, ok.
8.srt	00:09:45.619 --> 00:10:04.439	So, this expression simply becomes again my decision surface the decision boundary between the classes omega i and omega j is orthogonal to W, but unlike in the previous case it is not orthogonal to the line joining mu i and mu j, right.
8.srt	00:10:04.809 --> 00:10:12.519	So, it is orthogonal to W, but under the situation that p omega i and p omega j will to be equal.
8.srt	00:10:13.229 --> 00:10:13.339	.
8.srt	00:10:13.339 --> 00:10:27.249	The line becomes a bisector of the line the decision surface becomes a bisector of the line joining mu i and mu j because when p omega i and p omega j they are equal x naught is half of mu i plus mu j.
8.srt	00:10:27.249 --> 00:10:30.289	So, it is half way between mu i and mu j.
8.srt	00:10:30.289 --> 00:10:44.029	So, my decision surface is a bisector of the line joining mu i and mu j, but it may not be an orthogonal bisector because W is no longer .
8.srt	00:10:44.599 --> 00:10:48.999	in the direction of the line joining mu i and mu j in general.
8.srt	00:10:50.289 --> 00:10:56.699	So, let us see that what will be the nature of the decision surface in this particular case.
8.srt	00:10:57.669 --> 00:11:06.179	So, again for that I take a number of examples number of feature vectors from class omega 1 and from class omega 2.
8.srt	00:11:06.889 --> 00:11:15.479	So, in this case the feature vectors that I am taking from class omega 1 are all these feature vectors which are marked in blue.
8.srt	00:11:15.979 --> 00:11:26.329	So, these are the feature vectors that I am taking from class omega 1 which are 6 2 9 3 7 5 and 10 6.
8.srt	00:11:27.269 --> 00:11:40.399	Similarly, all these feature vectors which are in red they are taken from class omega 2 the feature vectors are 6 11 9 12 7 14 and 10 15.
8.srt	00:11:41.699 --> 00:11:49.799	So, here you find that unlike in the previous case where the set of feature vectors were spherically distributed in this case they are elliptical.
8.srt	00:11:50.109 --> 00:11:53.539	elliptically distributed, they are not spherical distribution anymore.
8.srt	00:11:54.899 --> 00:12:02.439	So, given this feature vectors now let us see that how we can find out the decision surface.
8.srt	00:12:03.819 --> 00:12:15.919	So, for these two sets of feature vectors I compute the mean vectors mu 1 for class omega 1 and also I compute mu 2 for class omega 2.
8.srt	00:12:16.069 --> 00:12:20.619	Again there is a mistake the second one.
8.srt	00:12:20.699 --> 00:12:32.659	1 here this mu 1 this actually should be mu 2 this is not mu 1, but it is mu 2.
8.srt	00:12:33.489 --> 00:12:44.699	So, mu 1 is equal to 8 4 and mu 2 is equal to 8 13 they are the mean vectors of the feature vectors taken from class omega 1 and class omega 2.
8.srt	00:12:52.479 --> 00:12:53.819	So, once I have this then again as before I can compute the covariance matrices.
8.srt	00:12:55.159 --> 00:13:11.999	So, as we have computed in the previouslecture in the same manner if I compute the covariance matrix, you will find that a covariance matrix for both the classes omega 1 and omega 2 will be half into 5, 3, 3, 5.
8.srt	00:13:12.659 --> 00:13:17.439	So, this is the covariance matrix that you get for both the classes omega 1 and omega 2.
8.srt	00:13:19.349 --> 00:13:23.999	And so, this is a case where my off diagonal elements.
8.srt	00:13:24.209 --> 00:13:25.549	they are not 0 anymore.
8.srt	00:13:26.829 --> 00:13:38.799	So, unlike in the previous case where I had the covariance matrix which was completely a diagonal matrix and all the diagonal elements were equal in this case I have off diagonal elements which are non 0.
8.srt	00:13:38.799 --> 00:13:44.739	So, that means, the feature components the different components are not statistically independent anymore.
8.srt	00:13:45.729 --> 00:13:50.999	However, for both the classes I have the same covariance matrix that is half 5, 3, 3, 5.
8.srt	00:13:51.439 --> 00:13:53.989	So, this comes under the case sigma.
8.srt	00:13:57.299 --> 00:13:58.889	i is equal to sigma.
8.srt	00:14:00.939 --> 00:14:25.339	So, once I have this covariance matrix I can compute sigma inverse that is the covariance matrix inverse ok. And using this as we have seen earlier that I can compute thedecision surface and the decision surface is given by W transpose X minus X naught equal to 0.
8.srt	00:14:25.949 --> 00:14:30.569	where W is sigma inverse mu 2 minus mu 1.
8.srt	00:14:32.209 --> 00:14:43.929	And you remember the sigma inverse that you have computed was 1 by 8 5 minus 3 minus 3 5 and mu 2 minus mu 1 is nothing but 0 1 ok.
8.srt	00:14:44.239 --> 00:14:46.959	So, I get W which is minus 3 5.
8.srt	00:14:48.389 --> 00:14:58.349	So, that simply says that W is in the direction of minus 3 5 W will be in this particular direction.
8.srt	00:14:59.539 --> 00:15:20.449	So, here you find that this dark green line this line represents the direction of w ok. And given this I can also compute what is x naught as x naught is given by minus half x naught is given by half mu 1 plus mu 2 minus this.
8.srt	00:15:21.419 --> 00:15:28.749	And under the situation if I assume that p omega 1 and p omega 2 to be equal log of p omega 1.
8.srt	00:15:28.999 --> 00:15:31.119	upon p omega 2 that will be equal to 0.
8.srt	00:15:31.119 --> 00:15:38.229	That means, this term will be cancelled giving X naught to be half of mu 1 plus mu 2.
8.srt	00:15:39.479 --> 00:15:53.439	So, that simply says that our decision boundary which will be orthogonal to sigma inverse mu 2 minus mu 1 or mu 1 minus mu 2 and it will pass through the midpoint between mu 1 and mu 2.
8.srt	00:15:55.559 --> 00:16:00.469	So, this dark blue line is the line joining mu 1 and mu 2.
8.srt	00:16:01.609 --> 00:16:21.109	dark green line is sigma inverse mu 1 and mu 1 minus mu 2 and this dotted red line is the line which is orthogonal to this dark green line and it passes through x naught where x naught is half of mu 1 plus mu 2.
8.srt	00:16:21.109 --> 00:16:27.849	So, this is mu 1 and this is mu 2 ok.
8.srt	00:16:28.139 --> 00:16:32.509	So, here you find that the decision boundary in this case is also linear.
8.srt	00:16:33.119 --> 00:16:39.239	but the decision boundary is no longer orthogonal to the line joining mu 1 and mu 2.
8.srt	00:16:40.339 --> 00:16:50.009	So, this was our second case where sigma i was equal to sigma .
8.srt	00:16:50.199 --> 00:17:08.679	Now, let us consider that what will be the discriminant function and the decision boundary in the most general case where I have sigma i to be the most general one that is for different classes I can have different sigma y .
8.srt	00:17:09.659 --> 00:17:21.089	It is possible that for some of the classes the sigma i will be orthogonal, but some of the some other classessigma i can be diagonal for, but for some other classes it may not be diagonal.
8.srt	00:17:21.479 --> 00:17:30.299	So, every class or the sample vectors taken from every class they have their own covariance matrix sigma i.
8.srt	00:17:30.739 --> 00:17:39.479	So, to see that what will be the nature of the discriminant function in such case let us go back to the original.
8.srt	00:17:40.059 --> 00:18:11.459	g i x where we have seen that g i x was minus d by 2 log of 2 pi minus half log of determinant sigma i minus half x minus mu i transpose sigma i inverse.
8.srt	00:18:12.069 --> 00:18:22.439	x minus mu i plus log of p omega i .
8.srt	00:18:22.439 --> 00:18:42.289	So, here you find that as before I can remove this term from g i x because this is same for all values of i whereas, in the earlier cases we had ignored this term as well half log determinant sigma i because sigma i was same for all the classes.
8.srt	00:18:43.069 --> 00:18:46.669	Now, sigma i is not same for all the classes, it is different for different classes.
8.srt	00:18:47.019 --> 00:18:48.479	So, I cannot ignore this term anymore.
8.srt	00:18:49.249 --> 00:19:13.659	So, that gives me that g i x will be simply minus half x minus mu i transpose sigma inverse x minus mu i plus log of p of omega i.
8.srt	00:19:14.059 --> 00:19:25.099	minus d by 2 log of mod of determinants in i right .
8.srt	00:19:25.099 --> 00:19:44.999	So, given this you will find that this expression is of the form x transpose a i x plus b i transpose x plus b i.
8.srt	00:19:45.159 --> 00:19:55.349	C i. I can simplify this expression in this form x transpose a i x plus b i transpose x plus c i.
8.srt	00:19:55.649 --> 00:20:20.049	And now, we find that because of the presence of the term x transpose x, I will have if the components are x 1, x 2, x 3 and so on of the feature vector x, I will have terms x 1 square, I will have terms x 2 square, I will have term x 3 square, I will have term x 1 into x 2, x 1 into x 3, x 2 into x 3, x 2 into x 5 and so on.
8.srt	00:20:20.959 --> 00:20:36.619	So, that leads to a situation that the discriminant function g i x does not remain linear anymore, but it becomes a quadratic discriminant function because of the presence of quadratic terms.
8.srt	00:20:37.979 --> 00:20:50.509	And over here, this a i it will be simply minus half sigma i.
8.srt	00:21:23.749 --> 00:21:51.209	I will be sigma I inverse mu I and C I will be minus half mu I transpose sigma I inverse mu I minus half log of p of omega i plus sorry this is minus half log of determinant sigma i plus log of p of omega i.
8.srt	00:21:53.019 --> 00:22:02.659	So, C i will be half mu i transpose sigma inverse mu i minus half log of determinant sigma i plus log of p of omega i.
8.srt	00:22:02.659 --> 00:22:12.589	So, my discriminant function becomes a non-linear or quadratic discriminant function.
8.srt	00:22:12.589 --> 00:22:22.189	And when I have such non-linear discriminant functions for to find out the decision boundary between two classesomega i and omega j.
8.srt	00:22:25.429 --> 00:22:29.859	Now, it is difficult to simplify as we have done in the previous case unlike in the previous case.
8.srt	00:22:30.169 --> 00:22:45.549	So, now, what I have to do is I have to find out what is g i x which will be as we have seen it will be x transpose a i x plus b i transpose x plus c i.
