filename,timestamp,sentence
23.srt,00:20:13.429 --> 00:20:21.899,"Here, Ambedkar completed his masters and earned a PhD or national dividend in historical and analytical study"
23.srt,00:20:22.049 --> 00:20:35.829,"So, this question of caste remains very central to his political life"
23.srt,00:44:26.059 --> 00:44:35.119,"However, Ambedkar was envisioning a society which will be free from any caste discrimination"
23.srt,00:44:35.119 --> 00:44:37.689,"So, any relation he was talking about note the"
23.srt,00:44:38.419 --> 00:44:43.409,or continuity of the caste discrimination
23.srt,00:50:15.359 --> 00:50:18.859,"His views on caste and partition, we have touched briefly"
23.srt,00:50:37.939 --> 00:50:44.589,"Now, to conclude this lecture, we find Ambedkar as one of the most educated men and thinker of his generation"
24.srt,00:03:37.990 --> 00:03:46.290,"So, Ambedkar do not have a kind of philosophical or philosophical in a sense of merely speculative"
24.srt,00:03:47.040 --> 00:03:55.370,exercise about the caste issue and how to reform it and how to solve the caste and untouchable problems
24.srt,00:07:52.890 --> 00:08:05.840,"However, Ambedkar went ahead and published this address which is entitled as Annihilation of Caste and this became one of the most influential works on caste system in India"
24.srt,00:08:06.040 --> 00:08:12.870,"Ambedkar wrote many things and here, one needs to emphasize on this point annihilation"
24.srt,00:08:13.000 --> 00:08:16.360,"So, the Ambedkar is not talking about reforming caste system"
24.srt,00:08:06.040 --> 00:08:12.870,"He is talking about annihilating, just doing away with this whole system of caste"
24.srt,00:14:24.650 --> 00:14:33.890,"So, here in this slide, one gets the sense that for Ambedkar, the objective is not just to reform and continue to"
24.srt,00:32:46.030 --> 00:32:50.770,"And caste has completely, disorganized and demoralized the Hindus"
24.srt,00:32:50.770 --> 00:32:59.380,"He writes, in every Hindu, the consciousness that exists is the consciousness of his caste and not the whole society as such"
24.srt,00:51:57.239 --> 00:52:03.949,"So, Ambedkar studied the caste system and critically, analyzed the justification it receives from Hindu scriptures"
24.srt,00:52:04.000 --> 00:52:07.000,His thought does not deal merely with removal.
