filename	timestamp	sentence
8.srt	00:00:00.070 --> 00:00:04.940	Hello friends.
8.srt	00:00:06.690 --> 00:00:21.960	I welcome you all for this third and.
8.srt	00:00:32.770 --> 00:00:36.109	concluding lecture on political thought of Rabindranath Tagore.
8.srt	00:00:36.109 --> 00:00:45.450	In previous two lectures, we have discussed his critique of nationalism and also his views on cosmopolitism.
8.srt	00:00:45.450 --> 00:01:00.640	Today, in this lecture, we will discuss his views on idea of man and also the debate that famous debate between Mahatma Gandhi and Rabindranath Tagore on some of the philosophical, political and socio-economic issues of their times.
8.srt	00:01:05.329 --> 00:01:15.750	And through this debate, we will try to understand what kind of challenges, we are facing in contemporary India and in what ways, we can take insights from this debate to resolve some of these complexities in contemporary India.
8.srt	00:01:15.799 --> 00:01:54.219	So, this lecture is basically, about his views on men, his idea of men and then, we will try to conclude this lecture by situating Rabindranath Tagore and his thought in the larger political and historical context in which he was articulating about some of his key ideas and in what ways, he was relevant in his time, why he was criticized and how he continued to remain relevant for understanding some of the contemporary challenge in modern India.
8.srt	00:01:54.620 --> 00:01:58.620	So, these are some of the things, we will discuss in the concluding part of this lecture.
8.srt	00:01:59.000 --> 00:01:59.840	So, bye.
8.srt	00:02:00.019 --> 00:02:00.489	Thank you.
8.srt	00:02:00.519 --> 00:02:01.900	We will start.
8.srt	00:02:02.250 --> 00:02:08.200	first, with this idea of man which for Tagore is centre for everything.
8.srt	00:02:32.880 --> 00:02:37.620	His views on a number of themes whether it is Swadesi, Samaj, Samaj, nation, cosmopolitanism, everything revolves around this powerful idea of man which we can better understand by looking at this quotation from Ramin Nattagore about the men, the search of men for truth and what is the truth of his or her existence.
8.srt	00:02:37.939 --> 00:02:43.689	And that is the basic artifacts or basic building block of all his arguments.
8.srt	00:02:43.689 --> 00:03:00.010	So, whether it is his serious essays or political writings, philosophical writings or it is his paintings, songs or other forms of creative writings, this idea of man is somewhat.
8.srt	00:03:03.440 --> 00:03:08.130	at the centre of all his creative expressions and writings.
8.srt	00:03:08.160 --> 00:03:15.430	So, from this quotation, one can understand that significance of man in his thought and in his philosophy.
8.srt	00:03:15.570 --> 00:03:29.890	So, it is within quote, in the history of man, there began from the day in many forms, in many ways and many languages, the answers to the one fundamental question, what am I?
8.srt	00:03:30.320 --> 00:03:34.220	In the true answer to this question lies his joy, his glory.
8.srt	00:03:34.520 --> 00:03:53.770	So, that is the search of man and he has understood that he is not simple, but hides a mystery of death within himself and that he will finally, know himself only when the veils of the mystery have been pierced through centuries he has persisted in his attempt.
8.srt	00:03:53.770 --> 00:04:01.570	So, that is the real search, real journey in the life of men or women.
8.srt	00:04:07.420 --> 00:04:23.120	So, what he is basically, saying is through all his creative creative expression, man is in search of asking through many forms, through many languages, in many ways, this fundamental question of who, what I am.
8.srt	00:04:23.850 --> 00:04:39.150	And to get the answer of this fundamental question, in that answer lies his true glory or his true joy and that is the basic fundamental search in human individual life.
8.srt	00:04:39.579 --> 00:04:48.610	So, in this journey of searching the answer for this question, man has understood that he is not simple.
8.srt	00:04:48.610 --> 00:04:51.170	So, what constitutes the man?
