filename	timestamp	sentence
8.srt	00:00:00.050 --> 00:00:24.500	So, last class I have taken about that manner and place of articulation.
8.srt	00:00:24.500 --> 00:00:31.089	I have described what is manner and what is place of articulation based on the manner and based on the plate of place of articulation.
8.srt	00:00:31.489 --> 00:00:34.939	The IPS symbols we have discussed and we assign an IPS symbols.
8.srt	00:00:35.390 --> 00:00:42.189	So and we said that the vowels all the vowels are classified based on the tongue position and tongue height.
8.srt	00:00:42.629 --> 00:00:45.899	So, F 1, F 2 and F 3 their relationship I have discussed.
8.srt	00:00:46.439 --> 00:01:02.789	Now today instead of taking a lectures today I give you some demonstration to see the voice sound and identify the manner and place of articulation we cannot identify by viewing that that sample.
8.srt	00:01:03.159 --> 00:01:13.319	But yes, we can identify the manner of articulation and from there we can see what kind of concern and it is what kind of how the formants are moving or kind of things.
8.srt	00:01:13.620 --> 00:01:14.730	So those will be explained.
8.srt	00:01:15.200 --> 00:01:22.400	So if you see there is a number of open source software available the cool edit, then I have web surfer.
8.srt	00:01:22.430 --> 00:01:30.879	So I have explained in one slide that lot of open source that speech processing software are available.
8.srt	00:01:31.349 --> 00:01:33.120	Now one of them are the cool edit.
8.srt	00:01:34.439 --> 00:01:55.340	If you see the cool edit software that is also downloadable from the cool edit pro is downloadable from the net and then if you see that any when you open a voice let us I have recorded that this let us I give you an example let us go through that this is an example of a voice which is recorded for a English speech.
8.srt	00:01:55.650 --> 00:01:57.239	Let us see the listen that voice.
8.srt	00:02:06.019 --> 00:02:27.889	So, this is the voice which is recorded by a English speaker English speech some sentence Now if you see that this x axis which is written the sample number of sample as we discuss in signal processing that once you recorded the digital speech that this is x axis is sample number of sample or it can be time or sample then y axis is the amplitude if you see this the amplitude.
8.srt	00:02:28.519 --> 00:02:38.339	Now if you see this portion no speech that amplitude of the samples are very low almost close to zero line this is zero zero amplitude line.
8.srt	00:02:39.199 --> 00:02:44.689	So, zero line if you see this is recorded with forty four kilohertz sixteen bit mono.
8.srt	00:02:44.889 --> 00:02:49.930	So each sample is you can say that it is quantized using the sixteen bit.
8.srt	00:02:50.280 --> 00:02:55.340	So some value of the sixteen bit is there based on that value it is y axis is that value.
8.srt	00:02:55.930 --> 00:03:06.939	So it is a this is zero axis zero axis this is minus this is plus and samples are all samples are flawed and this is look like a sample speech signal.
8.srt	00:03:06.969 --> 00:03:09.949	If you see this see this portion.
8.srt	00:03:10.409 --> 00:03:11.400	is the silence portion.
8.srt	00:03:12.159 --> 00:03:16.550	And here there is a voice portion, there is a noise portion, noisy kind of signal.
8.srt	00:03:17.039 --> 00:03:18.479	I can magnify it.
8.srt	00:03:18.830 --> 00:03:21.310	So, if you see that this is noise kind of things.
8.srt	00:03:21.340 --> 00:03:25.990	If you listen it also, some noise signals are there.
8.srt	00:03:26.319 --> 00:03:33.020	Now if I see that this is a time domain representation of the speech signal.
8.srt	00:03:33.930 --> 00:03:37.610	Now there is another kind of representation which is called spectral view.
8.srt	00:03:38.789 --> 00:03:42.860	Look like a, you can see this is look like a mostly x-ray plate kind of things.
8.srt	00:03:44.269 --> 00:03:48.459	So, here what is there it is called three dimensional plot of the speech signal.
8.srt	00:03:48.889 --> 00:04:02.519	What it is done if you are not a signal processing background then broadly you can think about like this that suppose I want to know that frequency analysis of the signal.
8.srt	00:04:02.519 --> 00:04:15.469	So, I have a time domain speech signal S n which I plot time versus sample value sample value or amplitude now I want to plot.
8.srt	00:04:15.840 --> 00:04:18.709	What are the frequency content in this signal?
8.srt	00:04:19.029 --> 00:04:30.389	So I say my y axis is the frequency, my x axis is the let us x axis is the frequency and I want to know the each frequency content amplitude.
8.srt	00:04:31.290 --> 00:04:34.939	So then the power of every single frequency.
8.srt	00:04:35.800 --> 00:04:40.439	So this is a two dimensional plot frequency versus power.
8.srt	00:04:40.829 --> 00:04:43.629	This is also time versus sample amplitude.
8.srt	00:04:44.000 --> 00:04:46.319	Now the problem is that if I plot this way.
8.srt	00:04:46.719 --> 00:04:48.379	Then I do not know the time information.
8.srt	00:04:48.689 --> 00:04:50.859	I want the time information should be there.
8.srt	00:04:51.120 --> 00:04:52.099	So what I do?
8.srt	00:04:53.049 --> 00:04:54.870	I do a spectrographic plot.
8.srt	00:04:55.349 --> 00:04:56.279	How do I do it?
8.srt	00:04:56.310 --> 00:04:58.370	I will discuss in the signal processing class.
8.srt	00:04:58.699 --> 00:05:15.929	So in x axis, let us this is time or sample and y axis is the frequency okay and then the amplitude or power of the particular frequency is represented by a color.
8.srt	00:05:18.009 --> 00:05:18.669	It may be a color or it may be a black and white.
8.srt	00:05:18.919 --> 00:05:24.729	So black means the power is high, white means there is no power in this case.
8.srt	00:05:25.089 --> 00:05:30.219	In this case black means power is high, white means there is no power.
8.srt	00:05:30.839 --> 00:05:35.769	So I am not going details about the how the spectrogram is made that I will discuss in the signal processing class.
8.srt	00:05:36.129 --> 00:05:46.349	So if you see in this picture some portion are very dark those contain the high frequency power of those portion are very high.
8.srt	00:05:46.349 --> 00:05:50.239	So if I see this y axis is the frequency axis if you see.
8.srt	00:05:50.649 --> 00:05:51.779	There is a frequency axis.
8.srt	00:05:52.229 --> 00:05:57.689	So, this is 2 kilo Hertz, 4 kilo Hertz, 6 kilo Hertz, 8 kilo Hertz.
8.srt	00:05:58.109 --> 00:06:00.429	So, sampling frequency is 44 kilo Hertz.
8.srt	00:06:00.709 --> 00:06:06.349	So, up to 20 kilo Hertz it is there, 22 kilo Hertz, f s by 2.
8.srt	00:06:06.739 --> 00:06:11.489	Now, if you see the black portion are contain the high power.
8.srt	00:06:11.519 --> 00:06:16.189	So, if I say within 2 kilo Hertz most of the sections are black.
8.srt	00:06:16.779 --> 00:06:18.799	So, that contain the high power.
8.srt	00:06:20.229 --> 00:06:22.769	Now, if it is noise kind of sound if you listen it.
8.srt	00:06:22.919 --> 00:06:26.839	It is a noise kind of sound.
8.srt	00:06:27.209 --> 00:06:34.129	So if this is noise kind of sound, then you see the power distribution of the all frequency are present.
8.srt	00:06:36.669 --> 00:06:42.909	So there may be some dark portion are there, some light portion are there, but more or less there is all powers are there.
8.srt	00:06:42.909 --> 00:06:48.289	So I can say that if the random noise, the all frequency has some power.
8.srt	00:06:48.729 --> 00:06:49.879	So this is random noise.
8.srt	00:06:56.179 --> 00:07:02.919	So if I say who generates the random noise, what kind of manner of articulation, what kind generated those kind of random noise if I say fricative or if I say aspiration.
8.srt	00:07:03.709 --> 00:07:07.179	So if it is fricative that means friction noise will be there.
8.srt	00:07:07.359 --> 00:07:11.049	So I can easily say this is nothing but a fricative.
